Comfort,Control,Durability,Feel,Overall,PPR,Power,Spin,Tension_Stability,name,rts
-0.023809523809523808,0.6190476190476191,0.5238095238095238,0.30952380952380953,0.40476190476190477,1.79,0.47619047619047616,0.5,0.47619047619047616,Luxilon Big Banger Alu Power 16L,258
0.2619047619047619,0.5,0.47619047619047616,0.38095238095238093,0.4523809523809524,3.38,0.40476190476190477,0.5476190476190477,0.5238095238095238,Topspin Cyber Flash 1.25,203
0.2857142857142857,0.5238095238095238,0.47619047619047616,0.35714285714285715,0.4523809523809524,3.73,0.2857142857142857,0.7142857142857143,0.5476190476190477,MSV Focus - HEX® 1.23,198
0.2857142857142857,0.5952380952380952,0.2619047619047619,0.4523809523809524,0.4523809523809524,3.0,0.35714285714285715,0.47619047619047616,0.6666666666666666,Signum Pro Poly Plasma 1.18,184
0.21428571428571427,0.5476190476190477,0.5714285714285714,0.35714285714285715,0.4523809523809524,3.0,0.2619047619047619,0.42857142857142855,0.7619047619047619,Signum Pro Poly Plasma 1.23,170
0.23809523809523808,0.5476190476190477,0.5714285714285714,0.23809523809523808,0.47619047619047616,2.33,0.2857142857142857,0.8333333333333334,0.5476190476190477,WeissCANNON Ultra Cable 1.23,167
-0.07142857142857142,0.5714285714285714,0.42857142857142855,0.21428571428571427,0.38095238095238093,1.64,0.47619047619047616,0.6666666666666666,0.38095238095238093,Luxilon Big Banger Alu Power Rough 16L,154
0.07142857142857142,0.3333333333333333,0.38095238095238093,0.19047619047619047,0.30952380952380953,1.19,0.38095238095238093,0.5476190476190477,0.3333333333333333,Babolat Pro Hurricane Tour 17,119
0.5476190476190477,0.5476190476190477,0.47619047619047616,0.42857142857142855,0.47619047619047616,3.11,0.3333333333333333,0.42857142857142855,0.5,Yonex Poly Tour Pro 125 16L,115
0.023809523809523808,0.35714285714285715,0.5,0.16666666666666666,0.2857142857142857,1.5,0.3333333333333333,0.2857142857142857,0.40476190476190477,Babolat Pro Hurricane 17,115
0.2857142857142857,0.5476190476190477,0.2619047619047619,0.40476190476190477,0.4523809523809524,1.8,0.35714285714285715,0.7619047619047619,0.5,Signum Pro Tornado 1.23,115
0.38095238095238093,0.23809523809523808,0.38095238095238093,0.16666666666666666,0.23809523809523808,1.17,0.2857142857142857,0.11904761904761904,0.07142857142857142,Head Sonic Pro 17,103
0.42857142857142855,0.6666666666666666,0.30952380952380953,0.5952380952380952,0.5,2.31,0.30952380952380953,0.6428571428571429,0.5476190476190477,Luxilon Big Banger Ace 18,101
0.5,0.7857142857142857,0.5238095238095238,0.5238095238095238,0.5476190476190477,3.3,0.3333333333333333,0.38095238095238093,0.7380952380952381,WeissCANNON Scorpion 1.22,100
0.38095238095238093,0.4523809523809524,0.14285714285714285,0.38095238095238093,0.40476190476190477,3.2,0.35714285714285715,0.7380952380952381,0.3333333333333333,MSV Focus - HEX® 1.10,96
0.5714285714285714,0.6190476190476191,0.5476190476190477,0.5476190476190477,0.5476190476190477,2.91,0.3333333333333333,0.4523809523809524,0.7142857142857143,WeissCANNON Silverstring 1.20,95
0.16666666666666666,0.5238095238095238,0.3333333333333333,0.2857142857142857,0.38095238095238093,3.07,0.23809523809523808,0.7142857142857143,0.42857142857142855,MSV Focus - HEX® 1.18,94
0.09523809523809523,0.6190476190476191,0.7142857142857143,0.2857142857142857,0.4523809523809524,2.33,0.40476190476190477,0.5238095238095238,0.6190476190476191,Luxilon Big Banger Original 16,93
0.42857142857142855,0.47619047619047616,0.35714285714285715,0.5,0.4523809523809524,3.38,0.5238095238095238,0.4523809523809524,0.4523809523809524,Kirschbaum Touch Turbo 1.25,91
0.5,0.5714285714285714,0.23809523809523808,0.42857142857142855,0.3333333333333333,2.5,-0.047619047619047616,0.3333333333333333,0.2619047619047619,Head Rip Control 16,90
0.6428571428571429,0.5476190476190477,-0.047619047619047616,0.6190476190476191,0.40476190476190477,2.67,0.5476190476190477,0.38095238095238093,0.16666666666666666,Isospeed Professional 17,86
0.5238095238095238,0.42857142857142855,0.11904761904761904,0.5,0.42857142857142855,2.17,0.47619047619047616,0.5238095238095238,0.40476190476190477,WeissCANNON Red Ghost 1.18,85
0.6190476190476191,0.38095238095238093,0.35714285714285715,0.40476190476190477,0.4523809523809524,3.18,0.5238095238095238,0.3333333333333333,0.47619047619047616,Topspin Cyber Blue 1.25,85
0.40476190476190477,0.47619047619047616,0.2619047619047619,0.3333333333333333,0.38095238095238093,1.92,0.2857142857142857,0.6190476190476191,0.2857142857142857,Tecnifibre Black Code 17,84
0.5238095238095238,0.6190476190476191,0.19047619047619047,0.5952380952380952,0.42857142857142855,2.17,0.42857142857142855,0.42857142857142855,0.19047619047619047,Head IntelliTour 17,84
0.23809523809523808,0.6666666666666666,0.6666666666666666,0.2619047619047619,0.4523809523809524,2.08,-0.23809523809523808,0.8333333333333334,0.6666666666666666,Yonex Poly Tour Spin 1.25,82
0.7619047619047619,0.5476190476190477,-0.07142857142857142,0.7142857142857143,0.47619047619047616,1.93,0.4523809523809524,0.40476190476190477,0.4523809523809524,Tecnifibre X-One Biphase 17,78
0.2619047619047619,0.5476190476190477,0.38095238095238093,0.38095238095238093,0.38095238095238093,1.91,0.2619047619047619,0.35714285714285715,0.40476190476190477,Tecnifibre Pro RedCode 17,77
0.11904761904761904,0.6428571428571429,0.47619047619047616,0.35714285714285715,0.4523809523809524,2.25,0.2619047619047619,0.7619047619047619,0.5714285714285714,Solinco Tour Bite 16L,76
